time,Baranyi-Roberts predictions
99.49748743718592,1224823.6498999982
100.1005025125628,1224823.6498999982
100.70351758793969,1224823.6498999982
101.30653266331657,1224823.6498999982
101.90954773869346,1224823.6498999982
102.51256281407035,1224823.6498999982
103.11557788944722,1224823.6498999982
103.71859296482411,1224823.6498999982
104.321608040201,1224823.6498999982
104.92462311557787,1224823.6498999982
105.52763819095476,1224823.6498999896
106.13065326633165,1224823.6498999896
106.73366834170854,1224823.6498999896
107.33668341708542,1224823.6498999896
107.9396984924623,1224823.6498999896
108.54271356783919,1224823.6498999896
109.14572864321607,1224823.6498999896
109.74874371859295,1224823.6498999896
110.35175879396984,1224823.6498999896
110.95477386934672,1224823.6498999896
111.55778894472361,1224823.6498999896
112.1608040201005,1224823.6498999896
112.76381909547737,1224823.6498999896
113.36683417085426,1224823.6498999896
